,frame,timestamp,emotion,score,old_emotion,scene,emotion_shift
428,1284,55.82608695652174,no_emotion,0.79,neutral,9,False
429,1287,55.95652173913044,no_emotion,0.63,neutral,9,False
430,1290,56.08695652173913,no_emotion,0.83,neutral,10,False
431,1293,56.21739130434783,no_emotion,0.84,neutral,10,False
432,1296,56.34782608695652,no_emotion,0.77,neutral,10,False
433,1299,56.47826086956522,no_emotion,0.85,neutral,10,False
434,1302,56.60869565217392,no_emotion,0.85,neutral,10,False
435,1305,56.73913043478261,no_emotion,0.77,neutral,10,False
436,1308,56.869565217391305,no_emotion,0.81,neutral,10,False
437,1311,57.0,no_emotion,0.77,neutral,10,False
438,1314,57.130434782608695,no_emotion,0.7,neutral,10,False
439,1317,57.26086956521739,no_emotion,0.64,neutral,10,False
440,1320,57.391304347826086,no_emotion,0.52,neutral,10,False
441,1323,57.52173913043478,no_emotion,0.61,neutral,10,False
442,1326,57.65217391304348,no_emotion,0.44,sad,10,False
443,1329,57.78260869565217,no_emotion,0.45,sad,10,False
444,1332,57.91304347826087,no_emotion,0.51,sad,10,False
445,1335,58.04347826086956,no_emotion,0.5,sad,10,False
446,1338,58.17391304347826,no_emotion,0.51,neutral,10,False
447,1341,58.30434782608695,no_emotion,0.46,neutral,10,False
448,1344,58.43478260869565,no_emotion,0.55,neutral,10,False
449,1347,58.56521739130435,no_emotion,0.64,neutral,10,False
450,1350,58.69565217391305,no_emotion,0.64,neutral,10,False
451,1353,58.82608695652174,no_emotion,0.59,neutral,10,False
452,1356,58.95652173913044,no_emotion,0.56,neutral,10,False
453,1359,59.08695652173913,no_emotion,0.0,,11,False
454,1362,59.21739130434783,no_emotion,0.33,neutral,11,False
455,1365,59.34782608695652,no_emotion,0.0,,11,False
456,1368,59.47826086956522,no_emotion,0.0,,11,False
457,1371,59.60869565217392,no_emotion,0.0,,11,False
458,1374,59.73913043478261,no_emotion,0.0,,11,False
459,1377,59.869565217391305,no_emotion,0.28,happy,11,False
460,1380,60.0,no_emotion,0.0,,11,False
461,1383,60.130434782608695,no_emotion,0.0,,11,False
462,1386,60.26086956521739,no_emotion,0.0,,11,False
463,1389,60.391304347826086,no_emotion,0.0,,11,False
464,1392,60.52173913043478,no_emotion,0.0,,11,False
465,1395,60.65217391304348,no_emotion,0.0,,11,False
466,1398,60.78260869565217,no_emotion,0.0,,11,False
467,1401,60.91304347826087,no_emotion,0.0,,11,False
468,1404,61.04347826086956,no_emotion,0.0,,11,False
469,1407,61.17391304347826,no_emotion,0.0,,11,False
470,1410,61.30434782608695,no_emotion,0.0,,11,False
471,1413,61.43478260869565,no_emotion,0.0,,11,False
472,1416,61.56521739130435,no_emotion,0.0,,11,False
473,1419,61.69565217391305,no_emotion,0.0,,11,False
474,1422,61.82608695652174,no_emotion,0.0,,11,False
